2025-11-08T00:57:59.447Z||3ESERe1We0xBfEud||CONF|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1,"hostId":"node-123.test.test"},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0","logLight":false,"logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"]}}]
2025-11-08 00:58:00.554|scheduling-1#52|4AFDZnDv4LlSscAQuRHIT3H2SUBTZ6rt|1|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:00.557|scheduling-1#52|4AFDZnDv4LlSscAQuRHIT3H2SUBTZ6rt|2|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.558|scheduling-1#52|4AFDZnDv4LlSscAQuRHIT3H2SUBTZ6rt|3|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:00.559|scheduling-1#52|1AEg7wwI53j5a9meLuRrApnaInalJ93D|1|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.559|scheduling-1#52|7Wtd6bpE8xTkyGcxMrOf2Fh4griqlYP5|1|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:00.559|scheduling-1#52|7Wtd6bpE8xTkyGcxMrOf2Fh4griqlYP5|2|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.559|scheduling-1#52|7Wtd6bpE8xTkyGcxMrOf2Fh4griqlYP5|3|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:00.559|scheduling-1#52|3RrTCTVPsVrqExZ9JOvjwXLhMmJXPe6B|1|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:00.559|scheduling-1#52|3RrTCTVPsVrqExZ9JOvjwXLhMmJXPe6B|2|TEXT||SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:00.559|scheduling-1#52|3RrTCTVPsVrqExZ9JOvjwXLhMmJXPe6B|3|JSON|Send Verification Url To Customers|SMTPEmailService.java#io.bitryon.example.web.service.SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
